query,vectorized_ms,jit_ms,speedup,jit_error
Q01,28.0767,37.9373,0.74008,false
Q02,3.90467,3.407,1.14607,false
Q03,9.625,9.52067,1.01096,false
Q04,10.445,9.26667,1.12716,false
Q05,8.91867,8.90033,1.00206,false
Q06,4.10067,5.06333,0.809875,false
Q07,8.97867,7.98767,1.12407,false
Q08,7.14867,7.11167,1.0052,false
Q09,33.5237,33.5357,0.999642,false
Q10,15.898,16.0327,0.9916,false
Q11,2.05333,1.987,1.03338,false
Q12,13.186,14.4513,0.912442,false
Q13,33.301,33.6147,0.990669,false
Q14,6.60733,6.456,1.02344,false
Q15,6.94767,7.34233,0.946248,false
Q16,9.82133,10.1387,0.968701,false
Q17,6.715,6.75033,0.994766,false
Q18,21.849,19.406,1.12589,false
Q19,14.33,15.5367,0.922334,false
Q20,7.48333,7.657,0.977319,false
Q21,24.9643,23.988,1.0407,false
Q22,6.19967,6.19367,1.00097,false
