query,vectorized_ms,jit_ms,speedup,jit_error
Q01,24.1947,42.628,0.567577,false
Q02,4.09967,4.12633,0.993537,false
Q03,10.2643,9.063,1.13255,false
Q04,9.67433,11.4833,0.842467,false
Q05,9.50233,9.46733,1.0037,false
Q06,4.22867,5.33133,0.793172,false
Q07,10.152,10.1983,0.995457,false
Q08,8.26867,7.81933,1.05746,false
Q09,35.1223,36.3597,0.96597,false
Q10,16.6893,16.114,1.0357,false
Q11,2.102,1.96033,1.07227,false
Q12,12.98,16.2037,0.801053,false
Q13,31.934,29.034,1.09988,false
Q14,6.091,6.076,1.00247,false
Q15,6.83867,7.49467,0.912471,false
Q16,9.491,9.66033,0.982471,false
Q17,6.05767,6.54967,0.924882,false
Q18,20.8273,20.373,1.0223,false
Q19,14.7323,14.268,1.03254,false
Q20,6.443,6.42967,1.00207,false
Q21,24.53,25.1837,0.974044,false
Q22,6.24567,6.19567,1.00807,false
